time	Vsalida
2.667630677723725e-004	3.022604e+000
2.667680677723725e-004	3.022540e+000
2.667730677723725e-004	3.022476e+000
2.667780677723724e-004	3.022411e+000
2.667830677723724e-004	3.022346e+000
2.667880677723724e-004	3.022281e+000
2.667930677723723e-004	3.022216e+000
2.667980677723723e-004	3.022151e+000
2.668030677723723e-004	3.022085e+000
2.668080677723722e-004	3.022019e+000
2.668130677723722e-004	3.021954e+000
2.668180677723722e-004	3.021888e+000
2.668230677723722e-004	3.021822e+000
2.668280677723721e-004	3.021757e+000
2.668330677723721e-004	3.021691e+000
2.668380677723721e-004	3.021626e+000
2.668430677723720e-004	3.021560e+000
2.668480677723720e-004	3.021494e+000
2.668530677723720e-004	3.021429e+000
2.668580677723719e-004	3.021363e+000
2.668630677723719e-004	3.021297e+000
2.668680677723719e-004	3.021232e+000
2.668730677723719e-004	3.021166e+000
2.668780677723718e-004	3.021101e+000
2.668830677723718e-004	3.021035e+000
2.668880677723718e-004	3.020969e+000
2.668930677723717e-004	3.020904e+000
2.668980677723717e-004	3.020838e+000
2.669030677723717e-004	3.020773e+000
2.669080677723716e-004	3.020707e+000
2.669130677723716e-004	3.020642e+000
2.669180677723716e-004	3.020576e+000
2.669230677723716e-004	3.020511e+000
2.669280677723715e-004	3.020445e+000
2.669330677723715e-004	3.020380e+000
2.669380677723715e-004	3.020314e+000
2.669430677723714e-004	3.020249e+000
2.669480677723714e-004	3.020183e+000
2.669530677723714e-004	3.020118e+000
2.669580677723714e-004	3.020052e+000
2.669630677723713e-004	3.019987e+000
2.669680677723713e-004	3.019922e+000
2.669730677723713e-004	3.019856e+000
2.669780677723712e-004	3.019791e+000
2.669830677723712e-004	3.019726e+000
2.669880677723712e-004	3.019661e+000
2.669930677723711e-004	3.019596e+000
2.669980677723711e-004	3.019531e+000
2.670030677723711e-004	3.019466e+000
2.670080677723711e-004	3.019401e+000
2.670130677723710e-004	3.019336e+000
2.670180677723710e-004	3.019271e+000
2.670202363324720e-004	3.019243e+000
2.670232144629105e-004	3.019203e+000
2.670247391221708e-004	3.019183e+000
2.670266418835702e-004	3.019158e+000
2.670295337590253e-004	3.019120e+000
2.670324746014265e-004	3.019080e+000
2.670365171185810e-004	3.019027e+000
2.670415171185810e-004	3.018960e+000
2.670454859067806e-004	3.018908e+000
2.670498175778306e-004	3.018851e+000
2.670525348556906e-004	3.018815e+000
2.670557131958578e-004	3.018774e+000
2.670569975447843e-004	3.018757e+000
2.670576447815327e-004	3.018748e+000
2.670580294970048e-004	3.018743e+000
2.670583380478414e-004	3.018739e+000
2.670586992000884e-004	3.018734e+000
2.670591319307392e-004	3.018729e+000
2.670596095813767e-004	3.018723e+000
2.670601178815400e-004	3.018716e+000
2.670607594026651e-004	3.018708e+000
2.670614640931301e-004	3.018698e+000
2.670622772367158e-004	3.018688e+000
2.670632460604005e-004	3.018675e+000
2.670643106637862e-004	3.018661e+000
2.670655840039074e-004	3.018645e+000
2.670669480499806e-004	3.018627e+000
2.670685656282288e-004	3.018606e+000
2.670702490621044e-004	3.018584e+000
2.670722213085933e-004	3.018558e+000
2.670742248258307e-004	3.018532e+000
2.670765014063064e-004	3.018502e+000
2.670788136236171e-004	3.018472e+000
2.670812687524942e-004	3.018440e+000
2.670837829457829e-004	3.018408e+000
2.670862503305939e-004	3.018375e+000
2.670889489872874e-004	3.018340e+000
2.670914905656139e-004	3.018307e+000
2.670942315195538e-004	3.018271e+000
2.670969288714195e-004	3.018236e+000
2.670997963917727e-004	3.018199e+000
2.671026974945499e-004	3.018161e+000
2.671058683484876e-004	3.018120e+000
2.671091417014986e-004	3.018077e+000
2.671129129890044e-004	3.018028e+000
2.671169403721369e-004	3.017976e+000
2.671219403721369e-004	3.017911e+000
2.671269403721368e-004	3.017846e+000
2.671319403721368e-004	3.017781e+000
2.671369403721368e-004	3.017716e+000
2.671419403721368e-004	3.017651e+000
2.671469403721367e-004	3.017586e+000
2.671519403721367e-004	3.017521e+000
2.671569403721367e-004	3.017456e+000
2.671619403721366e-004	3.017391e+000
2.671669403721366e-004	3.017326e+000
2.671719403721366e-004	3.017261e+000
2.671769403721365e-004	3.017196e+000
2.671819403721365e-004	3.017131e+000
2.671869403721365e-004	3.017066e+000
2.671969403721364e-004	3.016936e+000
2.672219403721363e-004	3.016611e+000
2.672519403721361e-004	3.016222e+000
2.672919403721359e-004	3.015703e+000
2.673419403721356e-004	3.015055e+000
2.674069403721352e-004	3.014214e+000
2.674919403721347e-004	3.013116e+000
2.676719403721336e-004	3.010797e+000
2.678569403721325e-004	3.008424e+000
2.678919403721323e-004	3.007976e+000
2.681269403721309e-004	3.004976e+000
2.686169403721280e-004	2.998771e+000
2.693719403721235e-004	2.989336e+000
2.696219403721220e-004	2.986245e+000
2.696269403721220e-004	2.986183e+000
2.696319403721220e-004	2.986122e+000
2.696369403721219e-004	2.986060e+000
2.696419403721219e-004	2.985998e+000
2.696469403721219e-004	2.985937e+000
2.696519403721218e-004	2.985875e+000
2.696569403721218e-004	2.985814e+000
2.696592667179344e-004	2.985785e+000
2.696606148715986e-004	2.985768e+000
2.696619239213880e-004	2.985752e+000
2.696630143199784e-004	2.985739e+000
2.696641746197782e-004	2.985724e+000
2.696664952193777e-004	2.985696e+000
2.696711364185767e-004	2.985639e+000
2.696761364185767e-004	2.985577e+000
2.696796237943036e-004	2.985534e+000
2.696820535130731e-004	2.985504e+000
2.696875100775301e-004	2.985437e+000
2.696906111962147e-004	2.985399e+000
2.696956111962147e-004	2.985337e+000
2.697006111962146e-004	2.985276e+000
2.697056111962146e-004	2.985214e+000
2.697106111962146e-004	2.985153e+000
2.697156111962145e-004	2.985091e+000
2.697206111962145e-004	2.985029e+000
2.697256111962145e-004	2.984968e+000
2.697306111962144e-004	2.984906e+000
2.697356111962144e-004	2.984845e+000
2.697406111962144e-004	2.984783e+000
2.697456111962144e-004	2.984722e+000
2.697506111962143e-004	2.984661e+000
2.697556111962143e-004	2.984599e+000
2.697606111962143e-004	2.984538e+000
2.697656111962142e-004	2.984476e+000
2.697706111962142e-004	2.984415e+000
2.697756111962142e-004	2.984353e+000
2.697806111962142e-004	2.984292e+000
2.697856111962141e-004	2.984230e+000
2.697906111962141e-004	2.984169e+000
2.697956111962141e-004	2.984107e+000
2.698006111962140e-004	2.984046e+000
2.698056111962140e-004	2.983984e+000
2.698106111962140e-004	2.983923e+000
2.698156111962139e-004	2.983862e+000
2.698206111962139e-004	2.983800e+000
2.698256111962139e-004	2.983739e+000
2.698306111962139e-004	2.983678e+000
2.698356111962138e-004	2.983616e+000
2.698406111962138e-004	2.983555e+000
2.698456111962138e-004	2.983493e+000
2.698506111962137e-004	2.983432e+000
2.698556111962137e-004	2.983371e+000
2.698606111962137e-004	2.983309e+000
2.698656111962136e-004	2.983248e+000
2.698706111962136e-004	2.983187e+000
2.698756111962136e-004	2.983125e+000
2.698806111962136e-004	2.983064e+000
2.698829375420262e-004	2.983036e+000
2.698851409734125e-004	2.983008e+000
2.698870088284496e-004	2.982985e+000
2.698889819337988e-004	2.982961e+000
2.698929281444973e-004	2.982913e+000
2.698979281444973e-004	2.982852e+000
2.699029281444973e-004	2.982790e+000
2.699064901549699e-004	2.982747e+000
2.699087247620381e-004	2.982719e+000
2.699103020228552e-004	2.982700e+000
2.699115318657004e-004	2.982685e+000
2.699126065860461e-004	2.982672e+000
2.699139009721130e-004	2.982656e+000
2.699150671211601e-004	2.982642e+000
2.699163452570736e-004	2.982626e+000
2.699179299553080e-004	2.982607e+000
2.699210281638261e-004	2.982569e+000
2.699260281638261e-004	2.982509e+000
2.699285869717347e-004	2.982479e+000
2.699312088642572e-004	2.982448e+000
2.699331783840018e-004	2.982425e+000
2.699353134173730e-004	2.982400e+000
2.699376826700468e-004	2.982373e+000
2.699389573010450e-004	2.982358e+000
2.699396923353157e-004	2.982350e+000
2.699400552830756e-004	2.982347e+000
2.699402453803892e-004	2.982345e+000
2.699405120352963e-004	2.982343e+000
2.699409149603568e-004	2.982342e+000
2.699413874954020e-004	2.982343e+000
2.699418810093320e-004	2.982348e+000
2.699428680371923e-004	2.982363e+000
2.699440203222446e-004	2.982388e+000
2.699452771079052e-004	2.982422e+000
2.699466116700155e-004	2.982462e+000
2.699482215071062e-004	2.982517e+000
2.699498772080462e-004	2.982575e+000
2.699517674543534e-004	2.982645e+000
2.699543273607249e-004	2.982741e+000
2.699570105796330e-004	2.982843e+000
2.699614535077218e-004	2.983014e+000
2.699662061595974e-004	2.983199e+000
2.699687928047968e-004	2.983301e+000
2.699699125773393e-004	2.983346e+000
2.699711894365887e-004	2.983397e+000
2.699722481092650e-004	2.983439e+000
2.699732901745018e-004	2.983480e+000
2.699743114149050e-004	2.983521e+000
2.699760056690888e-004	2.983588e+000
2.699793941774566e-004	2.983723e+000
2.699832768190773e-004	2.983877e+000
2.699882768190773e-004	2.984076e+000
2.699949999999999e-004	2.984341e+000
2.699997014742861e-004	2.984526e+000
2.699999999999998e-004	2.984538e+000
2.700002089679994e-004	2.984546e+000
2.700009999999998e-004	2.984577e+000
2.700039825984804e-004	2.984695e+000
2.700069768934257e-004	2.984812e+000
2.700119768934257e-004	2.985008e+000
2.700169768934256e-004	2.985203e+000
2.700219768934256e-004	2.985398e+000
2.700269768934256e-004	2.985592e+000
2.700319768934255e-004	2.985786e+000
2.700369768934255e-004	2.985979e+000
2.700419768934255e-004	2.986172e+000
2.700469768934254e-004	2.986364e+000
2.700519768934254e-004	2.986557e+000
2.700569768934254e-004	2.986748e+000
2.700619768934254e-004	2.986939e+000
2.700669768934253e-004	2.987129e+000
2.700719768934253e-004	2.987319e+000
2.700769768934253e-004	2.987509e+000
2.700819768934252e-004	2.987698e+000
2.700869768934252e-004	2.987886e+000
2.700919768934252e-004	2.988075e+000
2.700969768934252e-004	2.988262e+000
2.701019768934251e-004	2.988450e+000
2.701069768934251e-004	2.988636e+000
2.701119768934251e-004	2.988822e+000
2.701169768934250e-004	2.989008e+000
2.701219768934250e-004	2.989193e+000
2.701269768934250e-004	2.989378e+000
2.701319768934249e-004	2.989563e+000
2.701369768934249e-004	2.989747e+000
2.701419768934249e-004	2.989930e+000
2.701469768934249e-004	2.990113e+000
2.701519768934248e-004	2.990295e+000
2.701569768934248e-004	2.990478e+000
2.701619768934248e-004	2.990659e+000
2.701669768934247e-004	2.990840e+000
2.701719768934247e-004	2.991021e+000
2.701769768934247e-004	2.991201e+000
2.701819768934246e-004	2.991381e+000
2.701869768934246e-004	2.991560e+000
2.701919768934246e-004	2.991739e+000
2.701969768934246e-004	2.991918e+000
2.702119768934245e-004	2.992450e+000
2.702269768934244e-004	2.992978e+000
2.702419768934243e-004	2.993502e+000
2.702569768934242e-004	2.994022e+000
2.702719768934241e-004	2.994538e+000
2.702869768934240e-004	2.995050e+000
2.703019768934239e-004	2.995558e+000
2.703169768934238e-004	2.996062e+000
2.703319768934238e-004	2.996562e+000
2.703469768934237e-004	2.997057e+000
2.703619768934236e-004	2.997549e+000
2.703769768934235e-004	2.998036e+000
2.703919768934234e-004	2.998519e+000
2.704069768934233e-004	2.998999e+000
2.704219768934232e-004	2.999474e+000
2.704369768934231e-004	2.999946e+000
2.704519768934230e-004	3.000413e+000
2.704669768934230e-004	3.000876e+000
2.704819768934229e-004	3.001335e+000
2.704969768934228e-004	3.001791e+000
2.705119768934227e-004	3.002242e+000
2.705269768934226e-004	3.002689e+000
2.705419768934225e-004	3.003132e+000
2.705569768934224e-004	3.003571e+000
2.705719768934223e-004	3.004006e+000
2.705869768934222e-004	3.004437e+000
2.706019768934222e-004	3.004864e+000
2.706219768934220e-004	3.005428e+000
2.706419768934219e-004	3.005984e+000
2.706619768934218e-004	3.006533e+000
2.706819768934217e-004	3.007075e+000
2.706969768934216e-004	3.007476e+000
2.707069768934215e-004	3.007742e+000
2.707209999999998e-004	3.008112e+000
2.707219999999999e-004	3.008138e+000
2.707470800000016e-004	3.008790e+000
2.707770800000015e-004	3.009554e+000
2.708120800000013e-004	3.010427e+000
2.708570800000010e-004	3.011517e+000
2.709120800000007e-004	3.012800e+000
2.709870800000002e-004	3.014465e+000
2.710770799999997e-004	3.016333e+000
2.711770799999991e-004	3.018243e+000
2.712870799999984e-004	3.020143e+000
2.714070799999977e-004	3.021977e+000
2.715370799999969e-004	3.023686e+000
2.716720799999961e-004	3.025154e+000
2.718170799999953e-004	3.026387e+000
2.719620799999944e-004	3.027266e+000
2.720970799999936e-004	3.027769e+000
2.722020799999930e-004	3.027950e+000
2.722520799999927e-004	3.027973e+000
2.723020799999924e-004	3.027954e+000
2.723920799999919e-004	3.027817e+000
2.724720799999914e-004	3.027585e+000
2.725370799999910e-004	3.027319e+000
2.725970799999907e-004	3.027013e+000
2.726470799999904e-004	3.026714e+000
2.726920799999901e-004	3.026411e+000
2.727320799999898e-004	3.026114e+000
2.727620799999897e-004	3.025875e+000
2.727670799999896e-004	3.025834e+000
2.727720799999896e-004	3.025792e+000
2.727770799999896e-004	3.025750e+000
2.727820799999896e-004	3.025707e+000
2.727870799999895e-004	3.025665e+000
2.727920799999895e-004	3.025621e+000
2.727970799999895e-004	3.025578e+000
2.727994063458021e-004	3.025557e+000
2.728007544994663e-004	3.025545e+000
2.728020635492556e-004	3.025534e+000
2.728031539478461e-004	3.025524e+000
2.728043142476459e-004	3.025514e+000
2.728066348472453e-004	3.025493e+000
2.728112760464444e-004	3.025452e+000
2.728162760464443e-004	3.025406e+000
2.728197634221713e-004	3.025375e+000
2.728221931409408e-004	3.025352e+000
2.728276497053978e-004	3.025302e+000
2.728307508240823e-004	3.025274e+000
2.728357508240823e-004	3.025227e+000
2.728407508240823e-004	3.025180e+000
2.728457508240822e-004	3.025132e+000
2.728507508240822e-004	3.025084e+000
2.728557508240822e-004	3.025036e+000
2.728607508240822e-004	3.024987e+000
2.728657508240821e-004	3.024938e+000
2.728707508240821e-004	3.024889e+000
2.728757508240821e-004	3.024839e+000
2.728807508240820e-004	3.024789e+000
2.728857508240820e-004	3.024738e+000
2.728907508240820e-004	3.024687e+000
2.728957508240819e-004	3.024636e+000
2.729007508240819e-004	3.024584e+000
2.729057508240819e-004	3.024531e+000
