time	Isecundario	Iprimario
5.933732714595878e-006	1.669320e-001	7.277548e-001
5.933940753825818e-006	2.097704e-001	7.133681e-001
5.934216548426300e-006	2.786526e-001	6.903221e-001
5.934768137627047e-006	4.401967e-001	6.366413e-001
5.935871316028541e-006	7.870120e-001	5.235257e-001
5.937407120656111e-006	1.232661e+000	3.827977e-001
5.939142458850216e-006	1.629022e+000	2.605377e-001
5.940480559458181e-006	1.839799e+000	1.946644e-001
5.942256215882161e-006	2.026401e+000	1.347089e-001
5.944196722548322e-006	2.168898e+000	8.918165e-002
5.946008572676152e-006	2.253404e+000	6.280834e-002
5.948085749712864e-006	2.305867e+000	4.640137e-002
5.950330036973237e-006	2.334729e+000	3.661681e-002
5.952855103476132e-006	2.354462e+000	2.929690e-002
5.957201182917992e-006	2.381541e+000	1.891557e-002
5.962184058599940e-006	2.409051e+000	8.117508e-003
5.965351843342142e-006	2.424955e+000	1.836286e-003
5.966591473853013e-006	2.430278e+000	-2.581729e-004
5.967749718301931e-006	2.434139e+000	-1.826658e-003
5.969196887962080e-006	2.437775e+000	-3.406107e-003
5.970151090581993e-006	2.439422e+000	-4.180992e-003
5.971148178087653e-006	2.440361e+000	-4.718238e-003
5.972061591909229e-006	2.440530e+000	-4.997973e-003
5.973888419552598e-006	2.439664e+000	-5.216863e-003
5.976105560641159e-006	2.437707e+000	-5.230424e-003
5.979485174709793e-006	2.434128e+000	-5.088552e-003
5.984485174709764e-006	2.428768e+000	-4.865286e-003
5.989485174709734e-006	2.423469e+000	-4.662431e-003
5.994485174709704e-006	2.418193e+000	-4.469606e-003
5.999485174709674e-006	2.412932e+000	-4.284459e-003
6.004485174709645e-006	2.407692e+000	-4.107965e-003
6.009485174709615e-006	2.402470e+000	-3.939316e-003
6.014485174709585e-006	2.397265e+000	-3.778217e-003
6.019485174709556e-006	2.392077e+000	-3.624375e-003
6.024485174709526e-006	2.386905e+000	-3.477438e-003
6.029485174709496e-006	2.381748e+000	-3.337122e-003
6.034485174709467e-006	2.376607e+000	-3.203122e-003
6.039485174709437e-006	2.371480e+000	-3.075171e-003
6.044485174709407e-006	2.366368e+000	-2.952988e-003
6.049485174709378e-006	2.361269e+000	-2.836331e-003
