time	V(sw)
4.556536571428120e-005	2.228450e+001
4.560179428570956e-005	2.227411e+001
4.563822285713792e-005	2.226358e+001
4.567465142856627e-005	2.225293e+001
4.571107999999462e-005	2.224214e+001
4.571607999999459e-005	2.224065e+001
4.572007999999422e-005	2.223945e+001
4.572099999999987e-005	2.223917e+001
4.572109200000037e-005	2.223915e+001
4.572127600000159e-005	2.223909e+001
4.572164400000380e-005	2.223898e+001
4.572199999999999e-005	2.223887e+001
4.572203559999950e-005	2.223886e+001
4.572210679999874e-005	2.223884e+001
4.577410268569825e-005	2.222317e+001
4.582609857139775e-005	2.220711e+001
4.587809445709725e-005	2.219068e+001
4.593009034279675e-005	2.217388e+001
4.598208622849626e-005	2.215670e+001
4.603408211419575e-005	2.213914e+001
4.608607799989526e-005	2.212121e+001
4.611964942846649e-005	2.210938e+001
4.615322085703772e-005	2.209728e+001
4.618679228560895e-005	2.208494e+001
4.622036371418017e-005	2.207233e+001
4.625393514275140e-005	2.205947e+001
4.628750657132264e-005	2.204634e+001
4.632107799989386e-005	2.203297e+001
4.634464942846515e-005	2.202338e+001
4.636822085703644e-005	2.201357e+001
4.639179228560773e-005	2.200356e+001
4.641536371417902e-005	2.199333e+001
4.643893514275030e-005	2.198289e+001
4.646250657132160e-005	2.197223e+001
4.648607799989288e-005	2.196136e+001
4.650322085703564e-005	2.195328e+001
4.652036371417839e-005	2.194501e+001
4.653750657132115e-005	2.193655e+001
4.655464942846390e-005	2.192789e+001
4.657179228560666e-005	2.191904e+001
4.658893514274941e-005	2.191000e+001
4.660607799989217e-005	2.190076e+001
4.661036371417786e-005	2.189841e+001
4.661464942846355e-005	2.189603e+001
4.661893514274923e-005	2.189364e+001
4.662322085703493e-005	2.189123e+001
4.662750657132062e-005	2.188881e+001
4.663179228560630e-005	2.188636e+001
4.663607799989199e-005	2.188390e+001
4.664107799989196e-005	2.188100e+001
4.664607799989193e-005	2.187808e+001
4.665107799989190e-005	2.187513e+001
4.665607799989187e-005	2.187215e+001
4.666107799989184e-005	2.186915e+001
4.666607799989181e-005	2.186611e+001
4.667107799989178e-005	2.186305e+001
4.667340434570439e-005	2.186161e+001
4.667475249936861e-005	2.186077e+001
4.667606154915797e-005	2.185996e+001
4.667715194774840e-005	2.185928e+001
4.667831224754821e-005	2.185855e+001
4.668063284714763e-005	2.185709e+001
4.668527404634668e-005	2.185415e+001
4.669027404634665e-005	2.185096e+001
4.669376142207361e-005	2.184871e+001
4.669619114084310e-005	2.184714e+001
4.669884223843474e-005	2.184540e+001
4.670149333602639e-005	2.184366e+001
4.670414443361803e-005	2.184190e+001
4.670679553120967e-005	2.184013e+001
4.670944662880131e-005	2.183835e+001
4.671209772639295e-005	2.183656e+001
4.671474882398459e-005	2.183476e+001
4.671974882398456e-005	2.183133e+001
4.672474882398453e-005	2.182786e+001
4.672974882398450e-005	2.182433e+001
4.673474882398447e-005	2.182076e+001
4.673974882398444e-005	2.181714e+001
4.674474882398441e-005	2.181346e+001
4.674974882398438e-005	2.180973e+001
4.675474882398435e-005	2.180594e+001
4.675974882398432e-005	2.180209e+001
4.676474882398429e-005	2.179817e+001
4.676974882398426e-005	2.179419e+001
4.677474882398424e-005	2.179014e+001
4.677974882398421e-005	2.178602e+001
4.678474882398418e-005	2.178181e+001
4.678974882398415e-005	2.177753e+001
4.679474882398412e-005	2.177316e+001
4.679974882398409e-005	2.176869e+001
4.680474882398406e-005	2.176414e+001
4.680974882398403e-005	2.175947e+001
4.681474882398400e-005	2.175470e+001
4.681974882398397e-005	2.174982e+001
4.682474882398394e-005	2.174481e+001
4.682974882398391e-005	2.173967e+001
4.683474882398388e-005	2.173438e+001
4.683974882398385e-005	2.172895e+001
4.684474882398382e-005	2.172335e+001
