time	V(gg)	I(L1)
1.717683323721615e-007	1.200000e+001	4.776436e+000
1.734111895148664e-007	1.200000e+001	4.776489e+000
1.750540466575713e-007	1.200000e+001	4.776542e+000
1.766969038002762e-007	1.200000e+001	4.776596e+000
1.783397609429811e-007	1.200000e+001	4.776649e+000
1.799826180856860e-007	1.200000e+001	4.776703e+000
1.816254752283909e-007	1.200000e+001	4.776756e+000
1.835540466567836e-007	1.200000e+001	4.776820e+000
1.854826180851762e-007	1.200000e+001	4.776883e+000
1.874111895135690e-007	1.200000e+001	4.776946e+000
1.893397609419617e-007	1.200000e+001	4.777010e+000
1.912683323703544e-007	1.200000e+001	4.777073e+000
1.931969037987470e-007	1.200000e+001	4.777137e+000
1.951254752271397e-007	1.200000e+001	4.777200e+000
1.974826180840641e-007	1.200000e+001	4.777278e+000
1.998397609409886e-007	1.200000e+001	4.777356e+000
2.021969037979130e-007	1.200000e+001	4.777434e+000
2.045540466548374e-007	1.200000e+001	4.777513e+000
2.069111895117618e-007	1.200000e+001	4.777591e+000
2.092683323686862e-007	1.200000e+001	4.777669e+000
2.116254752256106e-007	1.200000e+001	4.777748e+000
2.145540466539106e-007	1.200000e+001	4.777845e+000
2.174826180822107e-007	1.200000e+001	4.777943e+000
2.204111895105107e-007	1.200000e+001	4.778040e+000
2.233397609388107e-007	1.200000e+001	4.778138e+000
2.262683323671107e-007	1.200000e+001	4.778236e+000
2.291969037954107e-007	1.200000e+001	4.778334e+000
2.321254752237108e-007	1.200000e+001	4.778432e+000
2.356969037948084e-007	1.200000e+001	4.778551e+000
2.392683323659059e-007	1.200000e+001	4.778671e+000
2.428397609370036e-007	1.200000e+001	4.778791e+000
2.464111895081012e-007	1.200000e+001	4.778910e+000
2.499826180791987e-007	1.200000e+001	4.779030e+000
2.535540466502963e-007	1.200000e+001	4.779150e+000
2.571254752213939e-007	1.200000e+001	4.779271e+000
2.614826180781330e-007	1.200000e+001	4.779417e+000
2.658397609348720e-007	1.200000e+001	4.779564e+000
2.701969037916111e-007	1.200000e+001	4.779710e+000
2.745540466483501e-007	1.200000e+001	4.779857e+000
2.789111895050892e-007	1.200000e+001	4.780004e+000
2.832683323618282e-007	1.200000e+001	4.780151e+000
2.876254752185673e-007	1.200000e+001	4.780298e+000
2.929826180752137e-007	1.200000e+001	4.780478e+000
2.983397609318601e-007	1.200000e+001	4.780659e+000
3.036969037885065e-007	1.200000e+001	4.780840e+000
3.090540466451529e-007	1.200000e+001	4.781021e+000
3.144111895017993e-007	1.200000e+001	4.781202e+000
3.197683323584456e-007	1.200000e+001	4.781383e+000
3.251254752150920e-007	1.200000e+001	4.781564e+000
3.315540466430677e-007	1.200000e+001	4.781781e+000
3.379826180710433e-007	1.200000e+001	4.781999e+000
3.444111894990190e-007	1.200000e+001	4.782216e+000
3.508397609269947e-007	1.200000e+001	4.782434e+000
3.572683323549703e-007	1.200000e+001	4.782651e+000
3.636969037829460e-007	1.200000e+001	4.782869e+000
3.701254752109216e-007	1.200000e+001	4.783086e+000
3.777683323530705e-007	1.200000e+001	4.783345e+000
3.854111894952193e-007	1.200000e+001	4.783604e+000
3.930540466373682e-007	1.200000e+001	4.783863e+000
4.006969037795170e-007	1.200000e+001	4.784122e+000
4.083397609216659e-007	1.200000e+001	4.784381e+000
4.159826180638147e-007	1.200000e+001	4.784640e+000
4.236254752059635e-007	1.200000e+001	4.784899e+000
4.326254752051294e-007	1.200000e+001	4.785204e+000
4.416254752042954e-007	1.200000e+001	4.785509e+000
4.506254752034613e-007	1.200000e+001	4.785814e+000
4.596254752026272e-007	1.200000e+001	4.786119e+000
4.686254752017931e-007	1.200000e+001	4.786425e+000
4.776254752009591e-007	1.200000e+001	4.786730e+000
4.866254752001250e-007	1.200000e+001	4.787035e+000
4.986254751990129e-007	1.200000e+001	4.787442e+000
5.091969037694618e-007	1.200000e+001	4.787800e+000
5.197683323399106e-007	1.200000e+001	4.788159e+000
5.303397609103595e-007	1.200000e+001	4.788518e+000
5.409111894808083e-007	1.200000e+001	4.788876e+000
5.514826180512572e-007	1.200000e+001	4.789234e+000
5.620540466217061e-007	1.200000e+001	4.789593e+000
5.726254751921549e-007	1.200000e+001	4.789951e+000
5.840540466196672e-007	1.200000e+001	4.790339e+000
5.954826180471795e-007	1.200000e+001	4.790727e+000
6.069111894746918e-007	1.200000e+001	4.791114e+000
6.183397609022041e-007	1.200000e+001	4.791502e+000
6.297683323297164e-007	1.200000e+001	4.791889e+000
6.411969037572287e-007	1.200000e+001	4.792277e+000
6.526254751847409e-007	1.200000e+001	4.792665e+000
6.640540466122532e-007	1.200000e+001	4.793052e+000
6.754826180397655e-007	1.200000e+001	4.793439e+000
6.869111894672778e-007	1.200000e+001	4.793827e+000
6.983397608947901e-007	1.200000e+001	4.794214e+000
7.097683323223024e-007	1.200000e+001	4.794602e+000
7.211969037498147e-007	1.200000e+001	4.794989e+000
7.326254751773269e-007	1.200000e+001	4.795377e+000
7.440540466048392e-007	1.200000e+001	4.795764e+000
7.554826180323515e-007	1.200000e+001	4.796152e+000
7.669111894598638e-007	1.200000e+001	4.796539e+000
7.783397608873761e-007	1.200000e+001	4.796927e+000
7.897683323148884e-007	1.200000e+001	4.797314e+000
8.011969037424007e-007	1.200000e+001	4.797701e+000
8.126254751699129e-007	1.200000e+001	4.798089e+000
8.240540465974252e-007	1.200000e+001	4.798476e+000
8.354826180249375e-007	1.200000e+001	4.798863e+000
8.469111894524498e-007	1.200000e+001	4.799250e+000
8.583397608799621e-007	1.200000e+001	4.799637e+000
8.697683323074744e-007	1.200000e+001	4.800025e+000
8.811969037349867e-007	1.200000e+001	4.800412e+000
8.926254751624990e-007	1.200000e+001	4.800799e+000
9.040540465900112e-007	1.200000e+001	4.801186e+000
9.154826180175235e-007	1.200000e+001	4.801573e+000
9.269111894450358e-007	1.200000e+001	4.801960e+000
9.383397608725481e-007	1.200000e+001	4.802347e+000
9.497683323000604e-007	1.200000e+001	4.802734e+000
9.611969037275726e-007	1.200000e+001	4.803121e+000
9.726254751550850e-007	1.200000e+001	4.803508e+000
9.779826180117312e-007	1.200000e+001	4.803690e+000
9.833397608683778e-007	1.200000e+001	4.803871e+000
9.886969037250240e-007	1.200000e+001	4.804052e+000
9.940540465816705e-007	1.200000e+001	4.804234e+000
9.994111894383168e-007	1.200000e+001	4.804415e+000
1.004768332294963e-006	1.200000e+001	4.804596e+000
1.010125475151610e-006	1.200000e+001	4.804778e+000
1.010625475151563e-006	1.200000e+001	4.804795e+000
1.021982618007654e-006	1.200000e+001	4.805179e+000
1.033339760863744e-006	1.200000e+001	4.805563e+000
1.044696903719834e-006	1.200000e+001	4.805948e+000
1.056054046575925e-006	1.200000e+001	4.806332e+000
1.067411189432015e-006	1.200000e+001	4.806717e+000
1.078768332288105e-006	1.200000e+001	4.807101e+000
1.090125475144196e-006	1.200000e+001	4.807486e+000
1.101411189428864e-006	1.200000e+001	4.807867e+000
1.112696903713532e-006	1.200000e+001	4.808249e+000
1.123982617998201e-006	1.200000e+001	4.808631e+000
1.135268332282869e-006	1.200000e+001	4.809013e+000
1.146554046567538e-006	1.200000e+001	4.809394e+000
1.157839760852206e-006	1.200000e+001	4.809776e+000
1.169125475136874e-006	1.200000e+001	4.810158e+000
1.180268332278699e-006	1.200000e+001	4.810535e+000
1.191411189420523e-006	1.200000e+001	4.810912e+000
1.202554046562348e-006	1.200000e+001	4.811289e+000
1.213696903704172e-006	1.200000e+001	4.811666e+000
1.224839760845997e-006	1.200000e+001	4.812042e+000
1.235982617987821e-006	1.200000e+001	4.812419e+000
1.247125475129646e-006	1.200000e+001	4.812796e+000
1.257982617985782e-006	1.200000e+001	4.813163e+000
1.268839760841919e-006	1.200000e+001	4.813530e+000
1.279696903698056e-006	1.200000e+001	4.813897e+000
1.290554046554192e-006	1.200000e+001	4.814264e+000
1.301411189410329e-006	1.200000e+001	4.814631e+000
1.312268332266466e-006	1.200000e+001	4.814998e+000
1.323125475122602e-006	1.200000e+001	4.815365e+000
1.333482617978785e-006	1.200000e+001	4.815715e+000
1.343839760834968e-006	1.200000e+001	4.816065e+000
1.354196903691151e-006	1.200000e+001	4.816415e+000
1.364554046547335e-006	1.200000e+001	4.816765e+000
1.374911189403517e-006	1.200000e+001	4.817115e+000
1.385268332259701e-006	1.200000e+001	4.817465e+000
1.395625475115883e-006	1.200000e+001	4.817815e+000
1.405125475115003e-006	1.200000e+001	4.818136e+000
1.414625475114123e-006	1.200000e+001	4.818457e+000
1.424125475113242e-006	1.200000e+001	4.818777e+000
1.433625475112362e-006	1.200000e+001	4.819098e+000
1.443125475111481e-006	1.200000e+001	4.819419e+000
1.452625475110601e-006	1.200000e+001	4.819740e+000
1.462125475109721e-006	1.200000e+001	4.820061e+000
1.469911189394713e-006	1.200000e+001	4.820324e+000
1.477696903679706e-006	1.200000e+001	4.820587e+000
1.485482617964699e-006	1.200000e+001	4.820850e+000
1.493268332249692e-006	1.200000e+001	4.821112e+000
1.501054046534684e-006	1.200000e+001	4.821375e+000
1.508839760819677e-006	1.200000e+001	4.821638e+000
1.516625475104670e-006	1.200000e+001	4.821901e+000
1.522625475104114e-006	1.200000e+001	4.822104e+000
1.533768332245938e-006	1.200000e+001	4.822480e+000
1.544911189387763e-006	1.200000e+001	4.822856e+000
1.556054046529587e-006	1.200000e+001	4.823232e+000
1.567196903671412e-006	1.200000e+001	4.823608e+000
1.578339760813236e-006	1.200000e+001	4.823984e+000
1.589482617955061e-006	1.200000e+001	4.824360e+000
1.600625475096885e-006	1.200000e+001	4.824736e+000
1.618054046523841e-006	1.200000e+001	4.825324e+000
1.635482617950797e-006	1.200000e+001	4.825912e+000
1.652911189377754e-006	1.200000e+001	4.826500e+000
1.670339760804710e-006	1.200000e+001	4.827088e+000
1.687768332231666e-006	1.200000e+001	4.827676e+000
1.705196903658622e-006	1.200000e+001	4.828264e+000
1.722625475085579e-006	1.200000e+001	4.828852e+000
1.751125475082938e-006	1.200000e+001	4.829813e+000
1.779625475080296e-006	1.200000e+001	4.830774e+000
1.808125475077655e-006	1.200000e+001	4.831735e+000
1.836625475075014e-006	1.200000e+001	4.832695e+000
1.865125475072373e-006	1.200000e+001	4.833655e+000
1.893625475069731e-006	1.200000e+001	4.834616e+000
1.922125475067090e-006	1.200000e+001	4.835576e+000
2.034625475056664e-006	1.200000e+001	4.839364e+000
2.107696903621321e-006	1.200000e+001	4.841824e+000
2.180768332185977e-006	1.200000e+001	4.844282e+000
2.253839760750634e-006	1.200000e+001	4.846740e+000
2.326911189315291e-006	1.200000e+001	4.849196e+000
2.399982617879948e-006	1.200000e+001	4.851652e+000
2.473054046444604e-006	1.200000e+001	4.854107e+000
2.546125475009261e-006	1.200000e+001	4.856560e+000
2.546625475009215e-006	1.200000e+001	4.856577e+000
3.058625474961765e-006	1.200000e+001	4.873742e+000
3.570625474914315e-006	1.200000e+001	4.890859e+000
4.082625474866866e-006	1.200000e+001	4.907928e+000
4.594625474819416e-006	1.200000e+001	4.924950e+000
5.106625474771967e-006	1.200000e+001	4.941925e+000
5.618625474724517e-006	1.200000e+001	4.958852e+000
6.130625474677067e-006	1.200000e+001	4.975732e+000
6.642625474629618e-006	1.200000e+001	4.992565e+000
7.154625474582168e-006	1.200000e+001	5.009352e+000
7.666625474534719e-006	1.200000e+001	5.026091e+000
8.178625474487269e-006	1.200000e+001	5.042784e+000
8.690625474439820e-006	1.200000e+001	5.059431e+000
9.202625474392370e-006	1.200000e+001	5.076031e+000
9.714625474344920e-006	1.200000e+001	5.092585e+000
1.000100000000004e-005	1.200000e+001	5.101824e+000
1.000105000000006e-005	1.140000e+001	5.101826e+000
1.000115000000009e-005	1.020000e+001	5.101829e+000
1.000135000000005e-005	7.800000e+000	5.101835e+000
1.000160000000014e-005	4.800000e+000	5.101843e+000
1.000199999999995e-005	6.242100e-010	5.101856e+000
1.000203999999990e-005	0.000000e+000	5.101858e+000
1.000211999999990e-005	0.000000e+000	5.101860e+000
1.000227999999992e-005	0.000000e+000	5.101865e+000
1.000259999999983e-005	0.000000e+000	5.101875e+000
1.000659999999946e-005	0.000000e+000	5.102004e+000
1.001059999999909e-005	0.000000e+000	5.102133e+000
